instance_id,problem_name,source_type,sif_N,dimension,dimension_group,final_selection_hash,selected
DIAGIQE[N=50],DIAGIQE,scalable,50.0,50,medium_21_100,8d1e606d4165766091e43500fb410b839ffc251d5099bf6a27a8475d0bd384c5,True
NCVXBQP2[N=50],NCVXBQP2,scalable,50.0,50,medium_21_100,8ec79483eddd4db5e328ba0ee22d6a49303a8c0200733fb4d63fd991733c3ca2,True
SINEALI[N=100],SINEALI,scalable,100.0,100,medium_21_100,973fd0dcd58d9f656757db23d0dae0faf7c27ea1b6ef16c465cfd76fdc42532f,True
PROBPENL[N=50],PROBPENL,scalable,50.0,50,medium_21_100,b36af0a17efb96966a5d51170826870430626df52e4ab690c100bedeaa770fa3,True
QINGB[N=100],QINGB,scalable,100.0,100,medium_21_100,be8fc9af0c9cb38742a27d006a530dd57426946a7b41b92ebb824972af1e14a4,True
DIAGNQB[N=50],DIAGNQB,scalable,50.0,50,medium_21_100,c14ef72b460bb2a9b7a5734cde5b727aaeda1743c4dd12f61e1cf5a8a0c550c8,False
BQPGABIM,BQPGABIM,fixed,,46,medium_21_100,d35e8fb8f3279cec57d98defa9ad1057545195d2b05260ce67c49f6fca938175,True
CVXBQP1[N=50],CVXBQP1,scalable,50.0,50,medium_21_100,df8515ffda960a83fd808722cff3f49eb02c859c6d5f9bf39b64f9c6a6e9fd37,True
S368[N=50],S368,scalable,50.0,50,medium_21_100,e6a2ce4cf8e58a0c18e188863d1474c33ebc8fad2cfee2cc18d7c31570c9e982,True
NCVXBQP3[N=50],NCVXBQP3,scalable,50.0,50,medium_21_100,e7c45a0a639af67efab5389aa052edc99f8317aaaefb731c59872e33d290204c,True
NONSCOMP[N=50],NONSCOMP,scalable,50.0,50,medium_21_100,f647e8cbfc3975aa57f5bf02c81f17953bffb4c42edda80e29a18c85caa01f14,False
DIAGPQE[N=10],DIAGPQE,scalable,10.0,10,small_2_20,072cae63368d3011d774924511a611bec2e7f2b12b4fc888524309aeab95163f,True
CHEBYQAD[N=10],CHEBYQAD,scalable,10.0,10,small_2_20,0999e73df0a285f38a27bc71ac1b1fc4012d51b05cd6ab5ed18abccf46e66cac,False
FBRAIN2LS,FBRAIN2LS,fixed,,4,small_2_20,0c737f25485d87b40e950e31ecbb9c761c8f87b5c0b28dfa1a91702f698caabf,True
DIAGNQT[N=10],DIAGNQT,scalable,10.0,10,small_2_20,179fc159c9b1200ef986b2290d194a50bd3869a6779c76d194a556c30f89b1f0,False
NCVXBQP3[N=10],NCVXBQP3,scalable,10.0,10,small_2_20,212cde116f266658a7967dd61facfac0028e4e12b17d9e9e7c5711b9e1b48e71,False
DIAGIQE[N=10],DIAGIQE,scalable,10.0,10,small_2_20,26316e31767e5ce84800f0fa909a932e270daf9418c547521e8b497de64ed758,False
NCVXBQP1[N=10],NCVXBQP1,scalable,10.0,10,small_2_20,29185d89b881a89106bc586f06c8426a4bf816a7cf6b33a43314ce2379f99341,False
HIMMELP1,HIMMELP1,fixed,,2,small_2_20,340206b8f6066882eed37e593ece4ad90aa4a012e03e174b504600e19ed51df8,True
HS110[N=10],HS110,scalable,10.0,10,small_2_20,360fecd445271a22277d37505ff30d6162cfe115ce714081aee9b3bd55332311,False
BRANIN,BRANIN,fixed,,2,small_2_20,3e554f8c8ba5cdbd3df1e913ff0b6481fb2a557e16f829993fbe6bb6eb4e981f,True
HS5,HS5,fixed,,2,small_2_20,3fa04b48e72bf0501b706dfc9e2d75634de571e010857efcf5b9de10ca3b9fd9,True
DIAGIQB[N=10],DIAGIQB,scalable,10.0,10,small_2_20,429e87857754abeb63f75a87723d4305dde900c93d3cff6ce961b6afe77c81ba,False
TRIGON1B[N=10],TRIGON1B,scalable,10.0,10,small_2_20,444acb0490b9ff8d5a4ff1e9f311ad532128d2622b27caba60cb64e8a98708c4,False
TRIGON2B[N=10],TRIGON2B,scalable,10.0,10,small_2_20,4a842e1a60ee15d50ef53850b67c45469a3427bcfb3e0b56bafdf745b43811c7,False
EXP2B,EXP2B,fixed,,2,small_2_20,4f2dbcf98ee95728c9bfef98a5d1e3fc36ead2bad56627a68ffba5daba7d9fb4,True
SINEALI[N=10],SINEALI,scalable,10.0,10,small_2_20,59aa3dfc3d4c184aa24f6d9f44c1f68effc5d48df42658d25e4dee9357908ad1,False
WAYSEA1B,WAYSEA1B,fixed,,2,small_2_20,5e92d5912e760d8357e5386a9b1947d2ac294462495b534e7e3a456598de5315,True
CVXBQP1[N=10],CVXBQP1,scalable,10.0,10,small_2_20,681a624ea40a8967a0e2201b7a9441be2d378be7345bea8f345ba34a5fc64076,False
PRICE4B,PRICE4B,fixed,,2,small_2_20,69e065f31be544d0c9d70a0956a551ad9e4224bb30f0daa1aae2ee8cd203ddc1,True
FBRAINLS,FBRAINLS,fixed,,2,small_2_20,6cb5983812b6ebec0d586e8962f100f82f7339d762eeadb9ecc4f06b4daf5d4b,True
DEVGLA1B,DEVGLA1B,fixed,,4,small_2_20,80400e6f14a4ef4a8336408b0f33ad35c92ebcc820c139b2076427345fbc5699,True
EGGCRATEB,EGGCRATEB,fixed,,2,small_2_20,816a2f1b75a4a4cface011320e6b960c39b9aaf0a9fd4ba0916e52eaa42082a7,True
QINGB[N=5],QINGB,scalable,5.0,5,small_2_20,8565e03f15df3c5c01b0179a242d732a1a5b282c93338caebe77f619c3433aea,False
DIAGPQB[N=10],DIAGPQB,scalable,10.0,10,small_2_20,87c7d790b1b45cf562498271c39c3f6c3f51dfe62bfe4c035fa7433885e11f76,False
WAYSEA2B,WAYSEA2B,fixed,,2,small_2_20,8da1d9eee399000a89a52de3fc76b582da15932127b83bfac6008dca7aa5e4ff,True
S368[N=8],S368,scalable,8.0,8,small_2_20,8e600572161b82a13f5893d4af57c039390bb5ae2ae40b192aaf6eb60939b1e7,False
DIAGPQT[N=10],DIAGPQT,scalable,10.0,10,small_2_20,985b2b2b031836de05e8bbe572809ce27d65476b90f0a9d99406cfb6c3d489ec,False
DIAGNQE[N=10],DIAGNQE,scalable,10.0,10,small_2_20,986f661b36f7af50d0c3df9f308e80778e971d9e5d6c90c7a4eb3afcfe0e21a9,False
DIAGIQT[N=10],DIAGIQT,scalable,10.0,10,small_2_20,9b75d8520ef4181edc581d823d36c79e425f3238635aae23feb55ab76cfb1c68,False
HART6,HART6,fixed,,6,small_2_20,a5a5cddf9ac5aaf5a3b187f9dad70c135cde81271465d7fc057567ac25672671,True
DIAGNQB[N=10],DIAGNQB,scalable,10.0,10,small_2_20,af8f76a4eec1019ead487adfdc7f2802b1c0145b6e2d4c25de850351280f22c5,False
HS38,HS38,fixed,,4,small_2_20,b6ef12d386e645277aa538f673c109a5df434d17134b6dd59b726fa7c9913cee,True
NCVXBQP2[N=10],NCVXBQP2,scalable,10.0,10,small_2_20,bae49c5c96f151a4971fc33daa042c89ef1d45f69ef62e970fca12d8824c02d3,False
STRTCHDVB[N=10],STRTCHDVB,scalable,10.0,10,small_2_20,d023c9200ac2d39d75cb664f9c43ed8e7d80345399f7dbe5444967562644bd0f,False
PROBPENL[N=10],PROBPENL,scalable,10.0,10,small_2_20,d2a0af4e1904145bbf4bf1f792c4e4a3e26fc6ce173e788e1118417690f87f8c,False
CAMEL6,CAMEL6,fixed,,2,small_2_20,e1ca046df1164ca1df0fb960c8cebf0dabe2ee782be39da4eb461f6c9f945efd,True
ELATVIDUB,ELATVIDUB,fixed,,2,small_2_20,f561cdb318459f24061f80f69121316b1ecc2f04d65bb0654cedd7485d8c689b,True
DGOSPEC,DGOSPEC,fixed,,3,small_2_20,f77f559e503cc35b9faac675e255c66d492377902c8bf09a4f6dfc0f6304066e,True
POWERSUMB[N=10],POWERSUMB,scalable,10.0,10,small_2_20,fc63a989bc113339cb57770473b9ab840ba174dd32ff60fd75ae8d9083f31d3f,True
HS25,HS25,fixed,,3,small_2_20,fcd22c48ecc4e2d16a1e875ddb3c0545e5cd66d4f560f61ccebd45856ceec60b,True
JUDGEB,JUDGEB,fixed,,2,small_2_20,fd8e0cd71734d3ff5ddf6922b8f79bfa0b69b2e18d025af56ef45433fd1c026d,True
