algorithm,function_index,dimension,instance_index,budget,seed
BasinGraph,7,5,30,5000,20965838
BasinGraph,8,5,21,5000,21065829
BasinGraph,8,5,22,5000,21065830
BasinGraph,8,5,23,5000,21065831
BasinGraph,8,5,24,5000,21065832
BasinGraph,8,5,25,5000,21065833
BasinGraph,8,5,26,5000,21065834
BasinGraph,8,5,27,5000,21065835
BasinGraph,8,5,28,5000,21065836
BasinGraph,8,5,29,5000,21065837
BasinGraph,8,5,30,5000,21065838
BasinGraph,9,5,21,5000,21165829
BasinGraph,9,5,22,5000,21165830
BasinGraph,9,5,23,5000,21165831
BasinGraph,9,5,24,5000,21165832
BasinGraph,9,5,25,5000,21165833
BasinGraph,9,5,26,5000,21165834
BasinGraph,9,5,27,5000,21165835
BasinGraph,9,5,28,5000,21165836
BasinGraph,9,5,29,5000,21165837
BasinGraph,9,5,30,5000,21165838
BasinGraph,10,5,21,5000,21265829
BasinGraph,10,5,22,5000,21265830
BasinGraph,10,5,23,5000,21265831
BasinGraph,10,5,24,5000,21265832
BasinGraph,10,5,25,5000,21265833
BasinGraph,10,5,26,5000,21265834
BasinGraph,10,5,27,5000,21265835
BasinGraph,10,5,28,5000,21265836
BasinGraph,10,5,29,5000,21265837
BasinGraph,10,5,30,5000,21265838
BasinGraph,11,5,21,5000,21365829
BasinGraph,11,5,22,5000,21365830
BasinGraph,11,5,23,5000,21365831
BasinGraph,11,5,24,5000,21365832
BasinGraph,11,5,25,5000,21365833
BasinGraph,11,5,26,5000,21365834
BasinGraph,11,5,27,5000,21365835
BasinGraph,11,5,28,5000,21365836
BasinGraph,11,5,29,5000,21365837
BasinGraph,11,5,30,5000,21365838
BasinGraph,12,5,21,5000,21465829
BasinGraph,12,5,22,5000,21465830
BasinGraph,12,5,23,5000,21465831
BasinGraph,12,5,24,5000,21465832
BasinGraph,12,5,25,5000,21465833
BasinGraph,12,5,26,5000,21465834
BasinGraph,12,5,27,5000,21465835
BasinGraph,12,5,28,5000,21465836
BasinGraph,12,5,29,5000,21465837
BasinGraph,12,5,30,5000,21465838
BasinGraph,13,5,21,5000,21565829
BasinGraph,13,5,22,5000,21565830
BasinGraph,13,5,23,5000,21565831
BasinGraph,13,5,24,5000,21565832
BasinGraph,13,5,25,5000,21565833
BasinGraph,13,5,26,5000,21565834
BasinGraph,13,5,27,5000,21565835
BasinGraph,13,5,28,5000,21565836
BasinGraph,13,5,29,5000,21565837
BasinGraph,13,5,30,5000,21565838
BasinGraph,14,5,21,5000,21665829
BasinGraph,14,5,22,5000,21665830
BasinGraph,14,5,23,5000,21665831
BasinGraph,14,5,24,5000,21665832
BasinGraph,14,5,25,5000,21665833
BasinGraph,14,5,26,5000,21665834
BasinGraph,14,5,27,5000,21665835
BasinGraph,14,5,28,5000,21665836
BasinGraph,14,5,29,5000,21665837
BasinGraph,14,5,30,5000,21665838
BasinGraph,15,5,21,5000,21765829
BasinGraph,15,5,22,5000,21765830
BasinGraph,15,5,23,5000,21765831
BasinGraph,15,5,24,5000,21765832
BasinGraph,15,5,25,5000,21765833
BasinGraph,15,5,26,5000,21765834
BasinGraph,15,5,27,5000,21765835
BasinGraph,15,5,28,5000,21765836
BasinGraph,15,5,29,5000,21765837
BasinGraph,15,5,30,5000,21765838
BasinGraph,16,5,21,5000,21865829
BasinGraph,16,5,22,5000,21865830
BasinGraph,16,5,23,5000,21865831
BasinGraph,16,5,24,5000,21865832
BasinGraph,16,5,25,5000,21865833
BasinGraph,16,5,26,5000,21865834
BasinGraph,16,5,27,5000,21865835
BasinGraph,16,5,28,5000,21865836
BasinGraph,16,5,29,5000,21865837
BasinGraph,16,5,30,5000,21865838
BasinGraph,17,5,21,5000,21965829
BasinGraph,17,5,22,5000,21965830
BasinGraph,17,5,23,5000,21965831
BasinGraph,17,5,24,5000,21965832
BasinGraph,17,5,25,5000,21965833
BasinGraph,17,5,26,5000,21965834
BasinGraph,17,5,27,5000,21965835
BasinGraph,17,5,28,5000,21965836
BasinGraph,17,5,29,5000,21965837
BasinGraph,17,5,30,5000,21965838
BasinGraph,18,5,21,5000,22065829
BasinGraph,18,5,22,5000,22065830
BasinGraph,18,5,23,5000,22065831
BasinGraph,18,5,24,5000,22065832
BasinGraph,18,5,25,5000,22065833
BasinGraph,18,5,26,5000,22065834
BasinGraph,18,5,27,5000,22065835
BasinGraph,18,5,28,5000,22065836
BasinGraph,18,5,29,5000,22065837
BasinGraph,18,5,30,5000,22065838
BasinGraph,19,5,21,5000,22165829
BasinGraph,19,5,22,5000,22165830
BasinGraph,19,5,23,5000,22165831
BasinGraph,19,5,24,5000,22165832
BasinGraph,19,5,25,5000,22165833
BasinGraph,19,5,26,5000,22165834
BasinGraph,19,5,27,5000,22165835
BasinGraph,19,5,28,5000,22165836
BasinGraph,19,5,29,5000,22165837
BasinGraph,19,5,30,5000,22165838
BasinGraph,20,5,21,5000,22265829
BasinGraph,20,5,22,5000,22265830
BasinGraph,20,5,23,5000,22265831
BasinGraph,20,5,24,5000,22265832
BasinGraph,20,5,25,5000,22265833
BasinGraph,20,5,26,5000,22265834
BasinGraph,20,5,27,5000,22265835
BasinGraph,20,5,28,5000,22265836
BasinGraph,20,5,29,5000,22265837
BasinGraph,20,5,30,5000,22265838
BasinGraph,21,5,21,5000,22365829
BasinGraph,21,5,22,5000,22365830
BasinGraph,21,5,23,5000,22365831
BasinGraph,21,5,24,5000,22365832
BasinGraph,21,5,25,5000,22365833
BasinGraph,21,5,26,5000,22365834
BasinGraph,21,5,27,5000,22365835
BasinGraph,21,5,28,5000,22365836
BasinGraph,21,5,29,5000,22365837
BasinGraph,21,5,30,5000,22365838
BasinGraph,22,5,21,5000,22465829
BasinGraph,22,5,22,5000,22465830
BasinGraph,22,5,23,5000,22465831
BasinGraph,22,5,24,5000,22465832
BasinGraph,22,5,25,5000,22465833
BasinGraph,22,5,26,5000,22465834
BasinGraph,22,5,27,5000,22465835
BasinGraph,22,5,28,5000,22465836
BasinGraph,22,5,29,5000,22465837
BasinGraph,22,5,30,5000,22465838
BasinGraph,23,5,21,5000,22565829
BasinGraph,23,5,22,5000,22565830
BasinGraph,23,5,23,5000,22565831
BasinGraph,23,5,24,5000,22565832
BasinGraph,23,5,25,5000,22565833
BasinGraph,23,5,26,5000,22565834
BasinGraph,23,5,27,5000,22565835
BasinGraph,23,5,28,5000,22565836
BasinGraph,23,5,29,5000,22565837
BasinGraph,23,5,30,5000,22565838
BasinGraph,24,5,21,5000,22665829
BasinGraph,24,5,22,5000,22665830
BasinGraph,24,5,23,5000,22665831
BasinGraph,24,5,24,5000,22665832
BasinGraph,24,5,25,5000,22665833
BasinGraph,24,5,26,5000,22665834
BasinGraph,24,5,27,5000,22665835
BasinGraph,24,5,28,5000,22665836
BasinGraph,24,5,29,5000,22665837
BasinGraph,24,5,30,5000,22665838
BasinGraph,1,20,21,20000,20380829
BasinGraph,1,20,22,20000,20380830
BasinGraph,1,20,23,20000,20380831
BasinGraph,1,20,24,20000,20380832
BasinGraph,1,20,25,20000,20380833
BasinGraph,1,20,26,20000,20380834
BasinGraph,1,20,27,20000,20380835
BasinGraph,1,20,28,20000,20380836
BasinGraph,1,20,29,20000,20380837
BasinGraph,1,20,30,20000,20380838
BasinGraph,2,20,21,20000,20480829
BasinGraph,2,20,22,20000,20480830
BasinGraph,2,20,23,20000,20480831
BasinGraph,2,20,24,20000,20480832
BasinGraph,2,20,25,20000,20480833
BasinGraph,2,20,26,20000,20480834
BasinGraph,2,20,27,20000,20480835
BasinGraph,2,20,28,20000,20480836
BasinGraph,2,20,29,20000,20480837
BasinGraph,2,20,30,20000,20480838
BasinGraph,3,20,21,20000,20580829
BasinGraph,3,20,22,20000,20580830
BasinGraph,3,20,23,20000,20580831
BasinGraph,3,20,24,20000,20580832
BasinGraph,3,20,25,20000,20580833
BasinGraph,3,20,26,20000,20580834
BasinGraph,3,20,27,20000,20580835
BasinGraph,3,20,28,20000,20580836
BasinGraph,3,20,29,20000,20580837
BasinGraph,3,20,30,20000,20580838
BasinGraph,4,20,21,20000,20680829
BasinGraph,4,20,22,20000,20680830
BasinGraph,4,20,23,20000,20680831
BasinGraph,4,20,24,20000,20680832
BasinGraph,4,20,25,20000,20680833
BasinGraph,4,20,26,20000,20680834
BasinGraph,4,20,27,20000,20680835
BasinGraph,4,20,28,20000,20680836
BasinGraph,4,20,29,20000,20680837
BasinGraph,4,20,30,20000,20680838
BasinGraph,5,20,21,20000,20780829
BasinGraph,5,20,22,20000,20780830
BasinGraph,5,20,23,20000,20780831
BasinGraph,5,20,24,20000,20780832
BasinGraph,5,20,25,20000,20780833
BasinGraph,5,20,26,20000,20780834
BasinGraph,5,20,27,20000,20780835
BasinGraph,5,20,28,20000,20780836
BasinGraph,5,20,29,20000,20780837
BasinGraph,5,20,30,20000,20780838
BasinGraph,6,20,21,20000,20880829
BasinGraph,6,20,22,20000,20880830
BasinGraph,6,20,23,20000,20880831
BasinGraph,6,20,24,20000,20880832
BasinGraph,6,20,25,20000,20880833
BasinGraph,6,20,26,20000,20880834
BasinGraph,6,20,27,20000,20880835
BasinGraph,6,20,28,20000,20880836
BasinGraph,6,20,29,20000,20880837
BasinGraph,6,20,30,20000,20880838
BasinGraph,7,20,21,20000,20980829
BasinGraph,7,20,22,20000,20980830
BasinGraph,7,20,23,20000,20980831
BasinGraph,7,20,24,20000,20980832
BasinGraph,7,20,25,20000,20980833
BasinGraph,7,20,26,20000,20980834
BasinGraph,7,20,27,20000,20980835
BasinGraph,7,20,28,20000,20980836
BasinGraph,7,20,29,20000,20980837
BasinGraph,7,20,30,20000,20980838
BasinGraph,8,20,21,20000,21080829
BasinGraph,8,20,22,20000,21080830
BasinGraph,8,20,23,20000,21080831
BasinGraph,8,20,24,20000,21080832
BasinGraph,8,20,25,20000,21080833
BasinGraph,8,20,26,20000,21080834
BasinGraph,8,20,27,20000,21080835
BasinGraph,8,20,28,20000,21080836
BasinGraph,8,20,29,20000,21080837
BasinGraph,8,20,30,20000,21080838
BasinGraph,9,20,21,20000,21180829
BasinGraph,9,20,22,20000,21180830
BasinGraph,9,20,23,20000,21180831
BasinGraph,9,20,24,20000,21180832
BasinGraph,9,20,25,20000,21180833
BasinGraph,9,20,26,20000,21180834
BasinGraph,9,20,27,20000,21180835
BasinGraph,9,20,28,20000,21180836
BasinGraph,9,20,29,20000,21180837
BasinGraph,9,20,30,20000,21180838
BasinGraph,10,20,21,20000,21280829
BasinGraph,10,20,22,20000,21280830
BasinGraph,10,20,23,20000,21280831
BasinGraph,10,20,24,20000,21280832
BasinGraph,10,20,25,20000,21280833
BasinGraph,10,20,26,20000,21280834
BasinGraph,10,20,27,20000,21280835
BasinGraph,10,20,28,20000,21280836
BasinGraph,10,20,29,20000,21280837
BasinGraph,10,20,30,20000,21280838
BasinGraph,11,20,21,20000,21380829
BasinGraph,11,20,22,20000,21380830
BasinGraph,11,20,23,20000,21380831
BasinGraph,11,20,24,20000,21380832
BasinGraph,11,20,25,20000,21380833
BasinGraph,11,20,26,20000,21380834
BasinGraph,11,20,27,20000,21380835
BasinGraph,11,20,28,20000,21380836
BasinGraph,11,20,29,20000,21380837
BasinGraph,11,20,30,20000,21380838
BasinGraph,12,20,21,20000,21480829
BasinGraph,12,20,22,20000,21480830
BasinGraph,12,20,23,20000,21480831
BasinGraph,12,20,24,20000,21480832
BasinGraph,12,20,25,20000,21480833
BasinGraph,12,20,26,20000,21480834
BasinGraph,12,20,27,20000,21480835
BasinGraph,12,20,28,20000,21480836
BasinGraph,12,20,29,20000,21480837
BasinGraph,12,20,30,20000,21480838
BasinGraph,13,20,21,20000,21580829
BasinGraph,13,20,22,20000,21580830
BasinGraph,13,20,23,20000,21580831
BasinGraph,13,20,24,20000,21580832
BasinGraph,13,20,25,20000,21580833
BasinGraph,13,20,26,20000,21580834
BasinGraph,13,20,27,20000,21580835
BasinGraph,13,20,28,20000,21580836
BasinGraph,13,20,29,20000,21580837
BasinGraph,13,20,30,20000,21580838
BasinGraph,14,20,21,20000,21680829
BasinGraph,14,20,22,20000,21680830
BasinGraph,14,20,23,20000,21680831
BasinGraph,14,20,24,20000,21680832
BasinGraph,14,20,25,20000,21680833
BasinGraph,14,20,26,20000,21680834
BasinGraph,14,20,27,20000,21680835
BasinGraph,14,20,28,20000,21680836
BasinGraph,14,20,29,20000,21680837
BasinGraph,14,20,30,20000,21680838
BasinGraph,15,20,21,20000,21780829
BasinGraph,15,20,22,20000,21780830
BasinGraph,15,20,23,20000,21780831
BasinGraph,15,20,24,20000,21780832
BasinGraph,15,20,25,20000,21780833
BasinGraph,15,20,26,20000,21780834
BasinGraph,15,20,27,20000,21780835
BasinGraph,15,20,28,20000,21780836
BasinGraph,15,20,29,20000,21780837
BasinGraph,15,20,30,20000,21780838
BasinGraph,16,20,21,20000,21880829
BasinGraph,16,20,22,20000,21880830
BasinGraph,16,20,23,20000,21880831
BasinGraph,16,20,24,20000,21880832
BasinGraph,16,20,25,20000,21880833
BasinGraph,16,20,26,20000,21880834
BasinGraph,16,20,27,20000,21880835
BasinGraph,16,20,28,20000,21880836
BasinGraph,16,20,29,20000,21880837
BasinGraph,16,20,30,20000,21880838
BasinGraph,17,20,21,20000,21980829
BasinGraph,17,20,22,20000,21980830
BasinGraph,17,20,23,20000,21980831
BasinGraph,17,20,24,20000,21980832
BasinGraph,17,20,25,20000,21980833
BasinGraph,17,20,26,20000,21980834
BasinGraph,17,20,27,20000,21980835
BasinGraph,17,20,28,20000,21980836
BasinGraph,17,20,29,20000,21980837
BasinGraph,17,20,30,20000,21980838
BasinGraph,18,20,21,20000,22080829
BasinGraph,18,20,22,20000,22080830
BasinGraph,18,20,23,20000,22080831
BasinGraph,18,20,24,20000,22080832
BasinGraph,18,20,25,20000,22080833
BasinGraph,18,20,26,20000,22080834
BasinGraph,18,20,27,20000,22080835
BasinGraph,18,20,28,20000,22080836
BasinGraph,18,20,29,20000,22080837
BasinGraph,18,20,30,20000,22080838
BasinGraph,19,20,21,20000,22180829
BasinGraph,19,20,22,20000,22180830
BasinGraph,19,20,23,20000,22180831
BasinGraph,19,20,24,20000,22180832
BasinGraph,19,20,25,20000,22180833
BasinGraph,19,20,26,20000,22180834
BasinGraph,19,20,27,20000,22180835
BasinGraph,19,20,28,20000,22180836
BasinGraph,19,20,29,20000,22180837
BasinGraph,19,20,30,20000,22180838
BasinGraph,20,20,21,20000,22280829
BasinGraph,20,20,22,20000,22280830
BasinGraph,20,20,23,20000,22280831
BasinGraph,20,20,24,20000,22280832
BasinGraph,20,20,25,20000,22280833
BasinGraph,20,20,26,20000,22280834
BasinGraph,20,20,27,20000,22280835
BasinGraph,20,20,28,20000,22280836
BasinGraph,20,20,29,20000,22280837
BasinGraph,20,20,30,20000,22280838
BasinGraph,21,20,21,20000,22380829
BasinGraph,21,20,22,20000,22380830
BasinGraph,21,20,23,20000,22380831
BasinGraph,21,20,24,20000,22380832
BasinGraph,21,20,25,20000,22380833
BasinGraph,21,20,26,20000,22380834
BasinGraph,21,20,27,20000,22380835
BasinGraph,21,20,28,20000,22380836
BasinGraph,21,20,29,20000,22380837
BasinGraph,21,20,30,20000,22380838
BasinGraph,22,20,21,20000,22480829
BasinGraph,22,20,22,20000,22480830
BasinGraph,22,20,23,20000,22480831
BasinGraph,22,20,24,20000,22480832
BasinGraph,22,20,25,20000,22480833
BasinGraph,22,20,26,20000,22480834
BasinGraph,22,20,27,20000,22480835
BasinGraph,22,20,28,20000,22480836
BasinGraph,22,20,29,20000,22480837
BasinGraph,22,20,30,20000,22480838
BasinGraph,23,20,21,20000,22580829
BasinGraph,23,20,22,20000,22580830
BasinGraph,23,20,23,20000,22580831
BasinGraph,23,20,24,20000,22580832
BasinGraph,23,20,25,20000,22580833
BasinGraph,23,20,26,20000,22580834
BasinGraph,23,20,27,20000,22580835
BasinGraph,23,20,28,20000,22580836
BasinGraph,23,20,29,20000,22580837
BasinGraph,23,20,30,20000,22580838
BasinGraph,24,20,21,20000,22680829
BasinGraph,24,20,22,20000,22680830
BasinGraph,24,20,23,20000,22680831
BasinGraph,24,20,24,20000,22680832
BasinGraph,24,20,25,20000,22680833
BasinGraph,24,20,26,20000,22680834
BasinGraph,24,20,27,20000,22680835
BasinGraph,24,20,28,20000,22680836
BasinGraph,24,20,29,20000,22680837
BasinGraph,24,20,30,20000,22680838
CMA_ES,1,5,21,5000,20365829
CMA_ES,1,5,22,5000,20365830
CMA_ES,1,5,23,5000,20365831
CMA_ES,1,5,24,5000,20365832
CMA_ES,1,5,25,5000,20365833
CMA_ES,1,5,26,5000,20365834
CMA_ES,1,5,27,5000,20365835
CMA_ES,1,5,28,5000,20365836
CMA_ES,1,5,29,5000,20365837
CMA_ES,1,5,30,5000,20365838
CMA_ES,2,5,21,5000,20465829
CMA_ES,2,5,22,5000,20465830
CMA_ES,2,5,23,5000,20465831
CMA_ES,2,5,24,5000,20465832
CMA_ES,2,5,25,5000,20465833
CMA_ES,2,5,26,5000,20465834
CMA_ES,2,5,27,5000,20465835
CMA_ES,2,5,28,5000,20465836
CMA_ES,2,5,29,5000,20465837
CMA_ES,2,5,30,5000,20465838
CMA_ES,3,5,21,5000,20565829
CMA_ES,3,5,22,5000,20565830
CMA_ES,3,5,23,5000,20565831
CMA_ES,3,5,24,5000,20565832
CMA_ES,3,5,25,5000,20565833
CMA_ES,3,5,26,5000,20565834
CMA_ES,3,5,27,5000,20565835
CMA_ES,3,5,28,5000,20565836
CMA_ES,3,5,29,5000,20565837
CMA_ES,3,5,30,5000,20565838
CMA_ES,4,5,21,5000,20665829
CMA_ES,4,5,22,5000,20665830
CMA_ES,4,5,23,5000,20665831
CMA_ES,4,5,24,5000,20665832
CMA_ES,4,5,25,5000,20665833
CMA_ES,4,5,26,5000,20665834
CMA_ES,4,5,27,5000,20665835
CMA_ES,4,5,28,5000,20665836
CMA_ES,4,5,29,5000,20665837
CMA_ES,4,5,30,5000,20665838
CMA_ES,5,5,21,5000,20765829
CMA_ES,5,5,22,5000,20765830
CMA_ES,5,5,23,5000,20765831
CMA_ES,5,5,24,5000,20765832
CMA_ES,5,5,25,5000,20765833
CMA_ES,5,5,26,5000,20765834
CMA_ES,5,5,27,5000,20765835
CMA_ES,5,5,28,5000,20765836
CMA_ES,5,5,29,5000,20765837
CMA_ES,5,5,30,5000,20765838
CMA_ES,6,5,21,5000,20865829
CMA_ES,6,5,22,5000,20865830
CMA_ES,6,5,23,5000,20865831
CMA_ES,6,5,24,5000,20865832
CMA_ES,6,5,25,5000,20865833
CMA_ES,6,5,26,5000,20865834
CMA_ES,6,5,27,5000,20865835
CMA_ES,6,5,28,5000,20865836
CMA_ES,6,5,29,5000,20865837
CMA_ES,6,5,30,5000,20865838
CMA_ES,7,5,21,5000,20965829
CMA_ES,7,5,22,5000,20965830
CMA_ES,7,5,23,5000,20965831
CMA_ES,7,5,24,5000,20965832
CMA_ES,7,5,25,5000,20965833
CMA_ES,7,5,26,5000,20965834
CMA_ES,7,5,27,5000,20965835
CMA_ES,7,5,28,5000,20965836
CMA_ES,7,5,29,5000,20965837
CMA_ES,7,5,30,5000,20965838
CMA_ES,8,5,21,5000,21065829
CMA_ES,8,5,22,5000,21065830
CMA_ES,8,5,23,5000,21065831
CMA_ES,8,5,24,5000,21065832
CMA_ES,8,5,25,5000,21065833
CMA_ES,8,5,26,5000,21065834
CMA_ES,8,5,27,5000,21065835
CMA_ES,8,5,28,5000,21065836
CMA_ES,8,5,29,5000,21065837
CMA_ES,8,5,30,5000,21065838
CMA_ES,9,5,21,5000,21165829
CMA_ES,9,5,22,5000,21165830
CMA_ES,9,5,23,5000,21165831
CMA_ES,9,5,24,5000,21165832
CMA_ES,9,5,25,5000,21165833
CMA_ES,9,5,26,5000,21165834
CMA_ES,9,5,27,5000,21165835
CMA_ES,9,5,28,5000,21165836
CMA_ES,9,5,29,5000,21165837
CMA_ES,9,5,30,5000,21165838
CMA_ES,10,5,21,5000,21265829
CMA_ES,10,5,22,5000,21265830
CMA_ES,10,5,23,5000,21265831
CMA_ES,10,5,24,5000,21265832
CMA_ES,10,5,25,5000,21265833
CMA_ES,10,5,26,5000,21265834
CMA_ES,10,5,27,5000,21265835
CMA_ES,10,5,28,5000,21265836
CMA_ES,10,5,29,5000,21265837
CMA_ES,10,5,30,5000,21265838
CMA_ES,11,5,21,5000,21365829
CMA_ES,11,5,22,5000,21365830
CMA_ES,11,5,23,5000,21365831
CMA_ES,11,5,24,5000,21365832
CMA_ES,11,5,25,5000,21365833
CMA_ES,11,5,26,5000,21365834
CMA_ES,11,5,27,5000,21365835
CMA_ES,11,5,28,5000,21365836
CMA_ES,11,5,29,5000,21365837
CMA_ES,11,5,30,5000,21365838
CMA_ES,12,5,21,5000,21465829
CMA_ES,12,5,22,5000,21465830
CMA_ES,12,5,23,5000,21465831
CMA_ES,12,5,24,5000,21465832
CMA_ES,12,5,25,5000,21465833
CMA_ES,12,5,26,5000,21465834
CMA_ES,12,5,27,5000,21465835
CMA_ES,12,5,28,5000,21465836
CMA_ES,12,5,29,5000,21465837
CMA_ES,12,5,30,5000,21465838
CMA_ES,13,5,21,5000,21565829
CMA_ES,13,5,22,5000,21565830
CMA_ES,13,5,23,5000,21565831
CMA_ES,13,5,24,5000,21565832
CMA_ES,13,5,25,5000,21565833
CMA_ES,13,5,26,5000,21565834
CMA_ES,13,5,27,5000,21565835
CMA_ES,13,5,28,5000,21565836
CMA_ES,13,5,29,5000,21565837
CMA_ES,13,5,30,5000,21565838
CMA_ES,14,5,21,5000,21665829
CMA_ES,14,5,22,5000,21665830
CMA_ES,14,5,23,5000,21665831
CMA_ES,14,5,24,5000,21665832
CMA_ES,14,5,25,5000,21665833
CMA_ES,14,5,26,5000,21665834
CMA_ES,14,5,27,5000,21665835
CMA_ES,14,5,28,5000,21665836
CMA_ES,14,5,29,5000,21665837
CMA_ES,14,5,30,5000,21665838
CMA_ES,15,5,21,5000,21765829
CMA_ES,15,5,22,5000,21765830
CMA_ES,15,5,23,5000,21765831
CMA_ES,15,5,24,5000,21765832
CMA_ES,15,5,25,5000,21765833
CMA_ES,15,5,26,5000,21765834
CMA_ES,15,5,27,5000,21765835
CMA_ES,15,5,28,5000,21765836
CMA_ES,15,5,29,5000,21765837
CMA_ES,15,5,30,5000,21765838
CMA_ES,16,5,21,5000,21865829
CMA_ES,16,5,22,5000,21865830
CMA_ES,16,5,23,5000,21865831
CMA_ES,16,5,24,5000,21865832
CMA_ES,16,5,25,5000,21865833
CMA_ES,16,5,26,5000,21865834
CMA_ES,16,5,27,5000,21865835
CMA_ES,16,5,28,5000,21865836
CMA_ES,16,5,29,5000,21865837
CMA_ES,16,5,30,5000,21865838
CMA_ES,17,5,21,5000,21965829
CMA_ES,17,5,22,5000,21965830
CMA_ES,17,5,23,5000,21965831
CMA_ES,17,5,24,5000,21965832
CMA_ES,17,5,25,5000,21965833
CMA_ES,17,5,26,5000,21965834
CMA_ES,17,5,27,5000,21965835
CMA_ES,17,5,28,5000,21965836
CMA_ES,17,5,29,5000,21965837
CMA_ES,17,5,30,5000,21965838
CMA_ES,18,5,21,5000,22065829
CMA_ES,18,5,22,5000,22065830
CMA_ES,18,5,23,5000,22065831
CMA_ES,18,5,24,5000,22065832
CMA_ES,18,5,25,5000,22065833
CMA_ES,18,5,26,5000,22065834
CMA_ES,18,5,27,5000,22065835
CMA_ES,18,5,28,5000,22065836
CMA_ES,18,5,29,5000,22065837
CMA_ES,18,5,30,5000,22065838
CMA_ES,19,5,21,5000,22165829
CMA_ES,19,5,22,5000,22165830
CMA_ES,19,5,23,5000,22165831
CMA_ES,19,5,24,5000,22165832
CMA_ES,19,5,25,5000,22165833
CMA_ES,19,5,26,5000,22165834
CMA_ES,19,5,27,5000,22165835
CMA_ES,19,5,28,5000,22165836
CMA_ES,19,5,29,5000,22165837
CMA_ES,19,5,30,5000,22165838
CMA_ES,20,5,21,5000,22265829
CMA_ES,20,5,22,5000,22265830
CMA_ES,20,5,23,5000,22265831
CMA_ES,20,5,24,5000,22265832
CMA_ES,20,5,25,5000,22265833
CMA_ES,20,5,26,5000,22265834
CMA_ES,20,5,27,5000,22265835
CMA_ES,20,5,28,5000,22265836
CMA_ES,20,5,29,5000,22265837
CMA_ES,20,5,30,5000,22265838
CMA_ES,21,5,21,5000,22365829
CMA_ES,21,5,22,5000,22365830
CMA_ES,21,5,23,5000,22365831
CMA_ES,21,5,24,5000,22365832
CMA_ES,21,5,25,5000,22365833
CMA_ES,21,5,26,5000,22365834
CMA_ES,21,5,27,5000,22365835
CMA_ES,21,5,28,5000,22365836
CMA_ES,21,5,29,5000,22365837
CMA_ES,21,5,30,5000,22365838
CMA_ES,22,5,21,5000,22465829
CMA_ES,22,5,22,5000,22465830
CMA_ES,22,5,23,5000,22465831
CMA_ES,22,5,24,5000,22465832
CMA_ES,22,5,25,5000,22465833
CMA_ES,22,5,26,5000,22465834
CMA_ES,22,5,27,5000,22465835
